,id,filename,topic,iteration,buf_size
35016,uark8675aesirpresence21_87605_900465000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
35017,uark8675aesirpresence14_87605_941861600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35018,uark8675aesirpresence13_87605_942215700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35019,uark8675aesirpresence12_87605_994094700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35020,uark8675aesirpresence11_87606_139373500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35021,uark8675aesirpresence22_87606_909436100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence22,8,192
35022,uark8675aesirpresence11_87607_154954600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35023,uark8675aesirpresence55_87607_865304600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence55,8,192
35024,uark8675aesirpresence25_87607_881031800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence25,8,192
35025,uark8675aesirpresence15_87607_896024300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35026,uark8675aesirpresence12_87607_995341800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35027,uark8675aesirpresence11_87608_159731300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35028,uark8675aesirpresence42_87608_874823200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence42,8,192
35029,uark8675aesirpresence13_87608_944666800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35030,uark8675aesirpresence11_87609_175580100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35031,uark8675aesirpresence33_87609_888967200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence33,8,192
35032,uark8675aesirpresence14_87609_942508500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35033,uark8675aesirpresence12_87610_9002600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35034,uark8675aesirpresence11_87610_176563500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35035,uark8675aesirpresence11_87611_181789900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35036,uark8675aesirpresence43_87611_889259200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence43,8,192
35037,uark8675aesirpresence24_87611_889525000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence24,8,192
35038,uark8675aesirpresence21_87611_905496800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
35039,uark8675aesirpresence13_87611_952207200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35040,uark8675aesirpresence12_87612_16196600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35041,uark8675aesirpresence11_87612_189836500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35042,uark8675aesirpresence31_87612_909807300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence31,8,192
35043,uark8675aesirpresence15_87612_910031800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35044,uark8675aesirpresence11_87613_194492000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
