,id,filename,topic,iteration,duration
24,uark8675aesirpresence25_52540_390914000,emitter_naive_15_103123_1.csv,uark8675aesirpresence25,1,15
25,uark8675aesirpresence12_52540_437371400,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
26,uark8675aesirpresence11_52540_437477400,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
27,uark8675aesirpresence31_52541_396305500,emitter_naive_15_103123_1.csv,uark8675aesirpresence31,1,15
28,uark8675aesirpresence11_52541_443208500,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
29,uark8675aesirpresence32_52542_403965300,emitter_naive_15_103123_1.csv,uark8675aesirpresence32,1,15
30,uark8675aesirpresence21_52542_404711100,emitter_naive_15_103123_1.csv,uark8675aesirpresence21,1,15
31,uark8675aesirpresence14_52542_404961200,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
32,uark8675aesirpresence13_52542_405224100,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
33,uark8675aesirpresence12_52542_450499000,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
34,uark8675aesirpresence11_52542_450935300,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
35,uark8675aesirpresence33_52543_395530100,emitter_naive_15_103123_1.csv,uark8675aesirpresence33,1,15
36,uark8675aesirpresence11_52543_458328400,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
37,uark8675aesirpresence34_52544_400060200,emitter_naive_15_103123_1.csv,uark8675aesirpresence34,1,15
38,uark8675aesirpresence22_52544_400618500,emitter_naive_15_103123_1.csv,uark8675aesirpresence22,1,15
39,uark8675aesirpresence12_52544_463160600,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
40,uark8675aesirpresence11_52544_463711900,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
41,uark8675aesirpresence15_52545_404821000,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
42,uark8675aesirpresence35_52545_405608500,emitter_naive_15_103123_1.csv,uark8675aesirpresence35,1,15
43,uark8675aesirpresence13_52545_406505000,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
44,uark8675aesirpresence11_52545_467759900,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
45,uark8675aesirpresence41_52546_405488200,emitter_naive_15_103123_1.csv,uark8675aesirpresence41,1,15
46,uark8675aesirpresence23_52546_406085300,emitter_naive_15_103123_1.csv,uark8675aesirpresence23,1,15
47,uark8675aesirpresence14_52546_406332300,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
48,uark8675aesirpresence12_52546_467675900,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
49,uark8675aesirpresence11_52546_468111000,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
50,uark8675aesirpresence42_52547_405464700,emitter_naive_15_103123_1.csv,uark8675aesirpresence42,1,15
51,uark8675aesirpresence11_52547_483411600,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
52,uark8675aesirpresence43_52548_406116800,emitter_naive_15_103123_1.csv,uark8675aesirpresence43,1,15
53,uark8675aesirpresence24_52548_406693900,emitter_naive_15_103123_1.csv,uark8675aesirpresence24,1,15
54,uark8675aesirpresence21_52548_406956200,emitter_naive_15_103123_1.csv,uark8675aesirpresence21,1,15
55,uark8675aesirpresence13_52548_407633000,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
56,uark8675aesirpresence12_52548_468509400,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
57,uark8675aesirpresence11_52548_484380700,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
58,uark8675aesirpresence44_52549_406974700,emitter_naive_15_103123_1.csv,uark8675aesirpresence44,1,15
59,uark8675aesirpresence11_52549_484396700,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
60,uark8675aesirpresence25_52550_391722100,emitter_naive_15_103123_1.csv,uark8675aesirpresence25,1,15
61,uark8675aesirpresence45_52550_407454100,emitter_naive_15_103123_1.csv,uark8675aesirpresence45,1,15
62,uark8675aesirpresence15_52550_407831400,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
63,uark8675aesirpresence14_52550_408053000,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
64,uark8675aesirpresence12_52550_469903700,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
65,uark8675aesirpresence11_52550_485435600,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
66,uark8675aesirpresence51_52551_391976400,emitter_naive_15_103123_1.csv,uark8675aesirpresence51,1,15
67,uark8675aesirpresence22_52551_407594400,emitter_naive_15_103123_1.csv,uark8675aesirpresence22,1,15
68,uark8675aesirpresence13_52551_408146700,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
69,uark8675aesirpresence11_52551_485883500,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
70,uark8675aesirpresence52_52552_392423400,emitter_naive_15_103123_1.csv,uark8675aesirpresence52,1,15
71,uark8675aesirpresence31_52552_408222500,emitter_naive_15_103123_1.csv,uark8675aesirpresence31,1,15
72,uark8675aesirpresence12_52552_470878700,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
73,uark8675aesirpresence11_52552_486377000,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
74,uark8675aesirpresence53_52553_398129000,emitter_naive_15_103123_1.csv,uark8675aesirpresence53,1,15
75,uark8675aesirpresence11_52553_491672300,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
76,uark8675aesirpresence54_52554_398476100,emitter_naive_15_103123_1.csv,uark8675aesirpresence54,1,15
77,uark8675aesirpresence32_52554_413547500,emitter_naive_15_103123_1.csv,uark8675aesirpresence32,1,15
78,uark8675aesirpresence23_52554_414109600,emitter_naive_15_103123_1.csv,uark8675aesirpresence23,1,15
79,uark8675aesirpresence21_52554_414373900,emitter_naive_15_103123_1.csv,uark8675aesirpresence21,1,15
80,uark8675aesirpresence14_52554_414536000,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
81,uark8675aesirpresence13_52554_414736400,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
82,uark8675aesirpresence12_52554_475800800,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
83,uark8675aesirpresence11_52554_491421100,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
84,uark8675aesirpresence55_52555_399246800,emitter_naive_15_103123_1.csv,uark8675aesirpresence55,1,15
85,uark8675aesirpresence15_52555_414558000,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
86,uark8675aesirpresence11_52555_492994000,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
87,uark8675aesirpresence33_52556_399558300,emitter_naive_15_103123_1.csv,uark8675aesirpresence33,1,15
88,uark8675aesirpresence12_52556_477577400,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
89,uark8675aesirpresence11_52556_493275000,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
90,uark8675aesirpresence24_52557_414883800,emitter_naive_15_103123_1.csv,uark8675aesirpresence24,1,15
91,uark8675aesirpresence13_52557_415410000,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
92,uark8675aesirpresence11_52557_508642200,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
93,uark8675aesirpresence34_52558_399931100,emitter_naive_15_103123_1.csv,uark8675aesirpresence34,1,15
94,uark8675aesirpresence22_52558_416506200,emitter_naive_15_103123_1.csv,uark8675aesirpresence22,1,15
95,uark8675aesirpresence14_52558_417372100,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
96,uark8675aesirpresence12_52558_478090200,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
97,uark8675aesirpresence11_52558_509203500,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
98,uark8675aesirpresence11_52559_509608200,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
99,uark8675aesirpresence25_52560_401077800,emitter_naive_15_103123_1.csv,uark8675aesirpresence25,1,15
100,uark8675aesirpresence35_52560_416909600,emitter_naive_15_103123_1.csv,uark8675aesirpresence35,1,15
101,uark8675aesirpresence21_52560_417450700,emitter_naive_15_103123_1.csv,uark8675aesirpresence21,1,15
102,uark8675aesirpresence15_52560_417652000,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
103,uark8675aesirpresence13_52560_418010700,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
104,uark8675aesirpresence12_52560_479251100,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
105,uark8675aesirpresence11_52560_510415100,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
106,uark8675aesirpresence11_52561_526408800,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
107,uark8675aesirpresence41_52562_416527400,emitter_naive_15_103123_1.csv,uark8675aesirpresence41,1,15
108,uark8675aesirpresence23_52562_417443900,emitter_naive_15_103123_1.csv,uark8675aesirpresence23,1,15
109,uark8675aesirpresence14_52562_432505800,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
110,uark8675aesirpresence12_52562_494924300,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
111,uark8675aesirpresence11_52562_526210600,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
112,uark8675aesirpresence31_52563_419038000,emitter_naive_15_103123_1.csv,uark8675aesirpresence31,1,15
113,uark8675aesirpresence13_52563_419811400,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
114,uark8675aesirpresence11_52563_528243300,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
115,uark8675aesirpresence42_52564_419391300,emitter_naive_15_103123_1.csv,uark8675aesirpresence42,1,15
116,uark8675aesirpresence12_52564_497219800,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
117,uark8675aesirpresence11_52564_528604400,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
118,uark8675aesirpresence22_52565_421401000,emitter_naive_15_103123_1.csv,uark8675aesirpresence22,1,15
119,uark8675aesirpresence15_52565_422290200,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
120,uark8675aesirpresence11_52565_531008800,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
121,uark8675aesirpresence43_52566_406188900,emitter_naive_15_103123_1.csv,uark8675aesirpresence43,1,15
122,uark8675aesirpresence32_52566_421899300,emitter_naive_15_103123_1.csv,uark8675aesirpresence32,1,15
123,uark8675aesirpresence24_52566_422447400,emitter_naive_15_103123_1.csv,uark8675aesirpresence24,1,15
124,uark8675aesirpresence21_52566_422677500,emitter_naive_15_103123_1.csv,uark8675aesirpresence21,1,15
125,uark8675aesirpresence13_52566_422828900,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
126,uark8675aesirpresence14_52566_437479200,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
127,uark8675aesirpresence12_52566_500114100,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
128,uark8675aesirpresence11_52566_531503700,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
